,Название тура,Цена,Локация,Приб/отб,Рейтинг,Кол-во оценок,Сложность,Комфорт,Url,Тэги,Длительность,Место прожив.,Размер группы,Мин. возраст,Место встречи
30_9,Владивосток за 4 дня,23000,Приморье,"['2024-05-15', '2024-05-18']",4.9,7,0.25,"Средний
Выше среднего",https://bolshayastrana.com/primore/vladivostok-za-4-dnya-73572,['Экскурсионные туры'],4 дня,Гостиница,До 45 человек,5 лет,"Приморский край, Владивосток"
30_10,Владивосток за 5 дней,22500,Приморье,"['2024-05-15', '2024-05-19']",5,7,0.25,"Средний
Выше среднего",https://bolshayastrana.com/primore/vladivostok-za-5-dnej-91225,['Экскурсионные туры'],5 дней,Гостиница,До 45 человек,5 лет,"Приморский край, Владивосток"
30_11,Я шагаю по Москве. Экскурсионный тур,18400,Московская область,"['2024-05-15', '2024-05-21']",4.8,60,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/moskva/krasota-i-velichie-moskvy-122338,['Экскурсионные туры'],7 дней,Гостиница,До 30 человек,6 лет,"Россия, Москва"
30_12,Средь гор высоких и могучих,27700,Чечня,"['2024-05-15', '2024-05-19']",4.9,790,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/sred-gor-vysokih-i-moguchih-19019,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,7 лет,"Россия, Чеченская Республика, Грозный"
30_13,Кавказское притяжение. Экскурсионный тур,41500,Чечня,"['2024-05-15', '2024-05-21']",4.8,790,0.25,Выше среднего,https://bolshayastrana.com/chechnya/prityazhenie-kavkazskih-gor-17514,['Экскурсионные туры'],7 дней,Гостиница,До 40 человек,7 лет,г. Грозный
30_14,Красота и сила традиций Кавказа. Экскурсионный тур на 9 дней,58290,Чечня,"['2024-05-15', '2024-05-23']",4.8,783,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/krasota-i-sila-tradicij-kavkaza-ehkskursionnyj-tur-17485,['Экскурсионные туры'],9 дней,Гостиница,До 40 человек,10 лет,г. Махачкала
30_15,Цветущие поля Калмыкии,34100,Калмыкия,"['2024-05-16', '2024-05-19']",5,4,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kalmykiya/cvetushchie-polya-kalmykii-247479,['Экскурсионные туры'],4 дня,Гостиница,До 16 человек,7 лет,"Республика Калмыкия, Элиста"
30_17,Золотой Казан и Красный город. Экскурсионный тур в Казань и Йошкар-Олу на 6 дней,21970,Татарстан,"['2024-05-16', '2024-05-21']",4.9,161,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/zolotoj-kazan-i-krasnyj-gorod-ehkskursionnyj-tur-v-kazan-i-joshkar-olu-na-6-dnej-234546,['Экскурсионные туры'],6 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
30_18,Калмыкия на 100%,37300,Калмыкия,"['2024-05-16', '2024-05-19']",5,5,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kalmykiya/kalmykiya-na-100--230934,['Экскурсионные туры'],4 дня,Гостиница или Турбаза,До 16 человек,6 лет,Астрахань
30_19,Московская история за 4 дня,26000,Московская область,"['2024-05-16', '2024-05-19']",4.9,17,0.25,Выше среднего,https://bolshayastrana.com/moskva/moskovskaya-istoriya-za-4-dnya-229576,['Экскурсионные туры'],4 дня,Гостиница,До 45 человек,5 лет,Москва
30_20,Летняя волшебная Карелия,56900,Карелия,"['2024-05-16', '2024-05-19']",4.9,27,0.5,Простой,https://bolshayastrana.com/kareliya/letnyaya-volshebnaya-kareliya-182862,['Экскурсионные туры'],4 дня,Гостевой дом,До 10 человек,5 лет,г. Петрозаводск
30_21,Татарстан на 100 процентов. Летняя Казань,22630,Татарстан,"['2024-05-16', '2024-05-21']",4.9,163,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/tatarstan-na-100-procentov-letnyaya-kazan-225525,['Экскурсионные туры'],6 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
31_0,Кавказские выходные. Экскурсионный тур,20000,Кавказ,"['2024-05-16', '2024-05-19']",4.9,110,0.25,Средний,https://bolshayastrana.com/ehlbrus/kavkazskie-vyhodnye-ehkskursionnyj-tur-96313,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,6 лет,Минеральные Воды
31_1,Эволюция путешествий. Активный отдых в Карелии,63300,Карелия,"['2024-05-16', '2024-05-19']",4.9,29,0.25,"Базовый
Простой",https://bolshayastrana.com/kareliya/ehvolyuciya-puteshestvij-76309,"['Комбинированные туры', 'Экскурсионные туры', 'Восхождения', 'Пешие туры', 'Сплавы']",4 дня,Гостевой дом,До 5 человек,5 лет,г. Петрозаводск
31_2,"Железнодорожный тур Москва – Байкал ""Байкальская сказка""",134800,Пермский край,"['2024-06-21', '2024-06-28']",5,32,0.25,"Средний
Высокий",https://bolshayastrana.com/bajkal/bajkalskaya-skazka-zheleznodorozhnyj-tur-moskva-bajkal-102054,"['Комбинированные туры', 'ЖД туры', 'Экскурсионные туры']",8 дней,Поезд,До 40 человек,14 лет,"Россия, Москва"
31_3,Краски Кавказа,32550,Ингушетия,"['2024-05-16', '2024-05-21']",4.8,767,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/kraski-kavkaza-19024,['Экскурсионные туры'],6 дней,Гостиница,До 40 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
31_6,Загадки кавказских ущелий. Экскурсионный тур,32100,Ингушетия,"['2024-05-16', '2024-05-21']",4.8,774,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/zagadki-kavkazskih-ushchelij-ehkskursionnyj-tur-17611,['Экскурсионные туры'],6 дней,Гостиница,До 40 человек,7 лет,Владикавказ
31_7,Дагестан и Сулакский каньон. Тур на выходные,16900,Кавказ,"['2024-05-16', '2024-05-19']",4.9,138,0.25,Средний,https://bolshayastrana.com/dagestan/dagestan-i-sulkskij-kanon-tur-na-vyhodnye-17561,['Экскурсионные туры'],4 дня,Гостиница,До 19 человек,6 лет,"Республика Дагестан, город Кизилюрт"
31_8,Архангельск — ворота Арктики. Расширенная программа,14500,Архангельская область,"['2024-05-17', '2024-05-19']",5,52,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/arhangelskaya-oblast/arhangelsk-vorota-arktiki-rasshirennaya-programma-248326,['Экскурсионные туры'],3 дня,Гостиница,До 40 человек,5 лет,г. Архангельск
31_11,Петербург. Пётр. От первого камня до небоскреба. Тур на 5 дней,21000,Ленинградская область,"['2024-05-17', '2024-05-21']",4.9,138,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/peterburg-pyotr-ot-pervogo-kamnya-do-neboskreba-vesna-leto-tur-na-5-dnej-247354,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,5 лет,Санкт-Петербург
31_12,Две столицы. Два города - миллион впечатлений! Москва и Санкт-Петербург,38960,Ленинградская область,"['2024-05-17', '2024-05-23']",4.9,16,0.25,"Средний
Выше среднего",https://bolshayastrana.com/sankt-peterburg/dve-stolicy-dva-goroda-million-vpechatlenij-moskva-i-sankt-peterburg-246896,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,4 года,Москва
31_14,В Казань день за днем. Тур на 7 дней,42710,Татарстан,"['2024-05-17', '2024-05-23']",4.9,160,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/v-kazan-den-za-dnem-tur-na-7-dnej-246142,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
31_15,Петербург. Пётр. От первого камня до небоскреба. Весна-лето,12250,Ленинградская область,"['2024-05-17', '2024-05-19']",4.9,138,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/peterburg-pyotr-ot-pervogo-kamnya-do-neboskreba-vesna-leto-244639,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
31_20,Праздник фонтанов в Петергофе,7000,Ленинградская область,"['2024-05-17', '2024-05-19']",4.9,142,0.25,Выше среднего,https://bolshayastrana.com/leningradskaya-oblast/prazdnik-fontanov-v-petergofe-233648,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
31_21,Волжские грады. Экскурсионный тур,21456,Татарстан,"['2024-05-17', '2024-05-21']",4.5,2,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/volzhskie-grady-ne-tak-daleki-ot-kazanskoj-gubernii-231966,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_0,Столица Татарстана – Казань,8779,Татарстан,"['2024-05-17', '2024-05-20']",4.5,2,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/stolica-tatarstana-kazan-231808,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_1,Гастротур «Тарелка Ойрата» в Калмыкии,31300,Калмыкия,"['2024-05-17', '2024-05-19']",5,5,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kalmykiya/gastrotur-tarelka-ojrata-v-kalmykii-230933,['Экскурсионные туры'],3 дня,Гостиница или Турбаза,До 16 человек,6 лет,"Республика Калмыкия, Элиста"
32_2,В Казань день за днем. Тур на 4 дня,24320,Татарстан,"['2024-05-17', '2024-05-20']",4.9,160,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/v-kazan-den-za-dnem-ehkskursionnyj-tur-230327,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_3,В Казань день за днем. Сокращенная программа,18190,Татарстан,"['2024-05-17', '2024-05-19']",4.9,161,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/v-kazan-den-za-dnem-sokrashchennaya-programma-230326,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_6,В Казань день за днем. Тур выходного дня,12060,Татарстан,"['2024-05-17', '2024-05-18']",4.9,160,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/v-kazan-den-za-dnem-tur-vyhodnogo-dnya-230316,['Экскурсионные туры'],2 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_7,Московский сюжет,15800,Московская область,"['2024-05-17', '2024-05-19']",4.9,19,0.25,Выше среднего,https://bolshayastrana.com/moskva/moskovskij-syuzhet-230075,['Экскурсионные туры'],3 дня,Гостиница,До 49 человек,4 года,Москва
32_11,Московская история за 3 дня,21100,Московская область,"['2024-05-17', '2024-05-19']",4.9,16,0.25,Выше среднего,https://bolshayastrana.com/moskva/moskovskaya-istoriya-za-3-dnya-229598,['Экскурсионные туры'],3 дня,Гостиница,До 45 человек,5 лет,Москва
32_12,В горах мое сердце,30750,Чечня,"['2024-05-17', '2024-05-22']",4.8,752,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/v-gorah-moe-serdce-vesna-leto-73184,['Экскурсионные туры'],6 дней,Гостиница,До 40 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
32_13,Жемчужины Татарстана,17150,Татарстан,"['2024-05-17', '2024-05-20']",4.9,165,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/zhemchuzhiny-tatarstana-100023,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,3 года,"Республика Татарстан, Казань"
32_14,Жемчужины Татарстана. Сокращенная программа,14020,Татарстан,"['2024-05-17', '2024-05-19']",4.9,164,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/zhemchuzhiny-tatarstana-sokrashchennaya-programma-103473,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,3 года,"Республика Татарстан, Казань"
32_15,Золотой Казан и Красный город. Экскурсионный тур в Казань и Йошкар-Олу на 7 дней,27940,Татарстан,"['2024-05-17', '2024-05-23']",4.9,163,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/zolotoj-kazan-i-krasnyj-gorod-ehkskursionnyj-tur-v-kazan-i-joshkar-olu-na-7-dnej-172514,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_16,Вкусный символ Петербурга – корюшка. Гастрономический тур,10800,Ленинградская область,"['2024-05-17', '2024-05-19']",4.9,141,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/vkusnyj-simvol-peterburga-koryushka-gastronomicheskij-tur-98746,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
32_17,Золотой Казан и Красный город. Экскурсионный тур в Казань и Йошкар-Олу на 5 дней,20820,Татарстан,"['2024-05-17', '2024-05-21']",4.9,168,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/zolotoj-kazan-i-krasnyj-gorod-ehkskursionnyj-tur-v-kazan-i-joshkar-olu-na-5-dnej-112961,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_18,Летний Татарстан на 100 процентов,27980,Татарстан,"['2024-05-17', '2024-05-23']",4.9,164,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/letnij-tatarstan-na-100-procentov-162993,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_19,Летний Татарстан на 100%. Сокращенная программа,19330,Татарстан,"['2024-05-17', '2024-05-20']",4.9,166,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/letnij-tatarstan-na-100-sokrashchennaya-programma-179159,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_20,Добро пожаловать в Казань,13490,Татарстан,"['2024-05-17', '2024-05-19']",4.9,163,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/dobro-pozhalovat-v-kazan-98730,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,3 года,"Татарстан, Казань"
32_21,Самые гостеприимные горы России,56500,Чечня,"['2024-05-17', '2024-05-25']",4.8,754,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/samye-gostepriimnye-gory-rossii-letnij-tur-89441,['Экскурсионные туры'],9 дней,Гостиница,До 40 человек,10 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
33_0,"Привет, Алания! Экспресс тур по Осетии",14350,Северная Осетия,"['2024-05-17', '2024-05-19']",4.8,757,0.5,"Средний
Выше среднего",https://bolshayastrana.com/severnaya-osetiya/privet-alaniya-ehkspress-tur-po-osetii-19066,['Экскурсионные туры'],3 дня,Гостиница,До 40 человек,7 лет,Владикавказ
33_1,В гости к аланам,27300,Северная Осетия,"['2024-05-17', '2024-05-21']",4.8,763,0.5,"Средний
Выше среднего",https://bolshayastrana.com/severnaya-osetiya/v-gosti-k-alanam-19062,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,7 лет,Владикавказ
33_2,Три счастливых дня на Кавказе. Экскурсионный тур,15000,Эльбрус,"['2024-05-17', '2024-05-19']",4.9,107,0.25,Средний,https://bolshayastrana.com/ehlbrus/tri-schastlivy-dnya-na-kavkaze-ehkskursionnyj-tur-18659,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,6 лет,Минеральные Воды
33_3,Архангельск — ворота Арктики,15800,Архангельская область,"['2024-05-17', '2024-05-19']",5,56,0.25,Выше среднего,https://bolshayastrana.com/arhangelskaya-oblast/arhangelsk-vorota-arktiki-17233,['Экскурсионные туры'],3 дня,Гостиница,До 40 человек,5 лет,г. Архангельск
33_6,Казань на одном дыхании,5670,Татарстан,"['2024-05-18', '2024-05-19']",4.9,160,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/kazan-na-odnom-dyhanii-245396,['Экскурсионные туры'],2 дня,Гостиница,До 50 человек,3 года,"Республика Татарстан, Казань"
33_7,Истории и тайны средневекового Выборга. Весна-осень,9900,Ленинградская область,"['2024-05-18', '2024-05-19']",4.9,143,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/istorii-i-tajny-srednevekovogo-vyborga-vesna-osen-245349,['Экскурсионные туры'],2 дня,Гостиница,До 50 человек,5 лет,"Россия, Санкт-Петербург"
33_8,Многоликий Петербург,8500,Ленинградская область,"['2024-05-18', '2024-05-21']",4.9,143,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/sankt-peterburg/mnogolikij-228423,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
33_9,Хиты Петербурга,7600,Ленинградская область,"['2024-05-18', '2024-05-20']",4.9,145,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/hity-peterburga-156047,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
33_10,Вояж в созвездие гор Кавказа,36000,Кавказ,"['2024-05-19', '2024-05-24']",4.8,756,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/voyazh-v-sozvezdie-gor-187213,['Экскурсионные туры'],6 дней,Гостиница,До 40 человек,10 лет,Минеральные Воды
33_11,Красота и сила традиций Кавказа. Экскурсионный тур на 8 дней,53400,Чечня,"['2024-05-19', '2024-05-26']",4.8,759,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/krasota-i-sila-tradicij-kavkaza-ehkskursionnyj-tur-na-8-dnej-102628,['Экскурсионные туры'],8 дней,Гостиница,До 40 человек,10 лет,г. Махачкала
33_12,Треккинг в Приэльбрусье без рюкзаков,45000,Кавказ,"['2024-05-19', '2024-05-25']",4.9,140,0.75,Простой,https://bolshayastrana.com/kavkaz/trekking-v-priehlbruse-bez-ryukzakov-132951,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",7 дней,Гостиница,До 18 человек,6 лет,"Россия, Ставропольский край, Минеральные Воды"
33_13,Кавказ — погружение в историю и традиции,49800,Эльбрус,"['2024-05-19', '2024-05-26']",4.8,756,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/kavkaz-pogruzhenie-v-istoriyu-i-tradicii-19797,['Экскурсионные туры'],8 дней,Гостиница,До 40 человек,7 лет,"Россия, Ставропольский край, Минеральные Воды"
33_14,Кавказские Минеральные Воды и Карачаево-Черкесия,22500,Кавказ,"['2024-05-19', '2024-05-22']",4.8,777,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/kavkazskie-mineralnye-vody-i-karachaevo-cherkessiya-19151,['Экскурсионные туры'],4 дня,Гостиница,До 40 человек,8 лет,Минеральные Воды
33_15,Знакомство с Чечней и Дагестаном,39000,Кавказ,"['2024-05-19', '2024-05-24']",4.8,804,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/znakomstvo-s-chechnej-i-dagestanom-19150,['Экскурсионные туры'],6 дней,Гостиница,До 18 человек,10 лет,"Россия, Республика Дагестан, Махачкала"
33_16,Большой тур по Кавказу,85000,Чечня,"['2024-05-19', '2024-06-01']",4.8,762,0.25,"Средний
Выше среднего",https://bolshayastrana.com/chechnya/bolshoj-tur-po-kavkazu-19137,['Экскурсионные туры'],14 дней,Гостиница,До 40 человек,10 лет,Минеральные Воды
33_17,На склонах гор. Путешествие по Кавказу,54500,Ингушетия,"['2024-05-19', '2024-05-27']",4.8,757,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kavkaz/na-sklonah-gor-19025,['Экскурсионные туры'],9 дней,Гостиница,До 40 человек,7 лет,"Россия, Ставропольский край, Минеральные Воды"
33_18,Пермская кругосветка,47000,Пермский край,"['2024-05-19', '2024-05-24']",4.8,24,0.5,Простой,https://bolshayastrana.com/ural/permskaya-krugosvetka-17724,['Экскурсионные туры'],6 дней,Гостиница,До 32 человек,10 лет,"Россия, Пермь"
33_19,Это Кавказ. Экскурсионный тур по пяти республикам,65950,Чечня,"['2024-05-19', '2024-05-28']",4.8,798,0.25,Средний,https://bolshayastrana.com/chechnya/ehto-kavkaz-ehkskursionnyj-tur-po-pyati-respublikam-17484,['Экскурсионные туры'],10 дней,Гостиница,До 40 человек,7 лет,г. Махачкала
33_20,Огни Дагестана. Экскурсионный тур,25000,Дагестан,"['2024-05-19', '2024-05-22']",4.8,918,0.25,Выше среднего,https://bolshayastrana.com/dagestan/ogni-dagestana-ehkskursionnyj-tur-17483,['Экскурсионные туры'],4 дня,Гостиница,До 18 человек,7 лет,г. Махачкала
33_21,Таинственный остров Сахалин. Экскурсии и гастрономические впечатления,54100,Сахалин и Курильские острова,"['2024-05-19', '2024-05-24']",5,55,0.5,"Выше среднего
Высокий",https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/tainstvennyj-ostrov-sahalin-16206,['Экскурсионные туры'],6 дней,Гостиница,До 25 человек,6 лет,г. Южно-Сахалинск
34_0,Культурный Петербург. Железнодорожный круиз на 4 дня,44400,Ленинградская область,"['2024-06-25', '2024-06-28']",5,31,0.25,"Средний
Выше среднего",https://bolshayastrana.com/leningradskaya-oblast/zheleznodorozhnyj-kruiz-v-sankt-peterburg-251060,"['Экскурсионные туры', 'ЖД туры']",4 дня,Поезд,До 50 человек,7 лет,"Россия, Москва"
34_1,Дворцы и усадьбы петербургской знати,38570,Ленинградская область,"['2024-05-20', '2024-05-26']",4.9,16,0.25,Выше среднего,https://bolshayastrana.com/leningradskaya-oblast/dvorcy-i-usadby-peterburgskoj-znati-248826,['Экскурсионные туры'],7 дней,Гостиница,До 45 человек,6 лет,Санкт-Петербург
34_2,Палитра Карелии и Петербурга,33100,Ленинградская область,"['2024-05-20', '2024-05-27']",4.9,139,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/palitra-karelii-i-peterburga-246323,['Экскурсионные туры'],8 дней,Гостиница,До 50 человек,5 лет,"Республика Карелия, Петрозаводск"
34_3,Родственник на Кавказе. Экскурсионный тур на 7 дней,39000,Кавказ,"['2024-05-20', '2024-05-26']",4.9,13,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/rodstvennik-na-kavkaze-ehkskursionnyj-tur-na-7-dnej-231655,['Экскурсионные туры'],7 дней,Гостиница,До 18 человек,3 года,г. Минеральные Воды
34_6,Наследие Дагестана,36000,Кавказ,"['2024-05-20', '2024-05-24']",4.9,18,0.25,Средний,https://bolshayastrana.com/kavkaz/nasledie-dagestana-231654,['Экскурсионные туры'],5 дней,Гостиница,До 20 человек,5 лет,"Республика Дагестан, Махачкала"
34_9,Активный отдых в Чечне и Дагестане,40000,Кавказ,"['2024-05-22', '2024-05-27']",4.8,754,0.5,"Простой
Средний",https://bolshayastrana.com/kavkaz/aktivnyj-otdyh-v-chechne-i-dagestane-231684,['Экскурсионные туры'],6 дней,Гостевой дом,До 18 человек,7 лет,"Республика Дагестан, Махачкала"
34_10,Поехали в Дагестан. Активный тур с проживанием в глэмпинге,27000,Дагестан,"['2024-05-22', '2024-05-25']",4.8,763,0.25,Средний,https://bolshayastrana.com/dagestan/poehali-v-dagestan-aktivnyj-tur-s-prozhivaniem-v-glehmpinge-229617,['Экскурсионные туры'],4 дня,Турбаза,До 18 человек,7 лет,"Республика Дагестан, Махачкала"
34_11,Родственник на Кавказе. Экскурсионный тур на 5 дней,30000,Кавказ,"['2024-05-22', '2024-05-26']",4.9,15,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/rodstvennik-na-kavkaze-ehkskursionnyj-tur-na-5-dnej-229488,['Экскурсионные туры'],5 дней,Гостиница,До 18 человек,3 года,г. Минеральные Воды
34_13,Кинфолк в Карелии летом,33100,Карелия,"['2024-05-23', '2024-05-26']",4.9,27,0.25,Простой,https://bolshayastrana.com/kareliya/kinfolk-v-karelii-letom-247327,"['Комбинированные туры', 'Туры на собачьих упряжках', 'Экскурсионные туры']",4 дня,Гостевой дом,До 10 человек,5 лет,г. Петрозаводск
34_15,Великий Волжский путь. Гранд-тур по 6 столицам,51480,Татарстан,"['2024-05-24', '2024-05-30']",4.9,160,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/velikij-volzhskij-put-grand-tur-po-6-stolicam-244229,['Экскурсионные туры'],7 дней,Гостиница,До 30 человек,3 года,"Республика Татарстан, Казань"
34_17,По ущельям выше облаков в Осетии и Ингушетии,40000,Кавказ,"['2024-05-24', '2024-05-30']",4.8,754,0.5,"Простой
Выше среднего",https://bolshayastrana.com/kavkaz/po-ushchelyam-vyshe-oblakov-v-osetii-i-ingushetii-231562,['Экскурсионные туры'],7 дней,Гостевой дом или Гостиница,До 18 человек,7 лет,"Республика Северная Осетия — Алания, Владикавказ"
34_18,Республики без границ: Казань – Чебоксары – Йошкар-Ола,21900,Татарстан,"['2024-05-24', '2024-05-28']",4.9,163,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/tatarstan/respubliki-bez-granic-kazan-cheboksary-joshkar-ola-64748,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,3 года,"Республика Татарстан, Казань"
34_19,Улётные выходные в Карелии,52900,Карелия,"['2024-05-24', '2024-05-26']",5,3,0.5,Высокий,https://bolshayastrana.com/kareliya/ulyotnye-vyhodnye-v-karelii-182385,"['Комбинированные туры', 'Туры на квадроциклах', 'Сплавы', 'Серфинг и SUP-туры', 'Пешие туры']",3 дня,Турбаза,До 26 человек,7 лет,"Россия, Республика Карелия, Сортавала"
34_20,Три дня с Петербургом,7400,Ленинградская область,"['2024-05-24', '2024-05-26']",4.9,146,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/tri-dnya-s-peterburgom-86862,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,Санкт-Петербург
34_21,Путешествие на родину Ломоносова,19500,Архангельская область,"['2024-05-24', '2024-05-26']",5,58,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/arhangelskaya-oblast/belye-nochi-na-rodine-lomonosova-22992,['Экскурсионные туры'],3 дня,Гостиница,До 40 человек,5 лет,"Россия, Архангельск"
35_0,Дагестан и Грозный. Тур на выходные,16900,Чечня,"['2024-05-24', '2024-05-26']",4.9,118,0.25,Средний,https://bolshayastrana.com/chechnya/dagestan-i-groznyj-tur-na-vyhodnye-17562,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,6 лет,"Ставропольский край, Минеральные Воды"
35_1,"Средневековый weekend: рыцарь, крендель, эль",15000,Ленинградская область,"['2024-05-25', '2024-05-26']",4.9,138,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/leningradskaya-oblast/srednevekovyj-weekend-rycar-krendel-ehl-246020,['Экскурсионные туры'],2 дня,Гостиница,До 18 человек,18 лет,"Россия, Санкт-Петербург"
35_2,К ледникам и водопадам в горах Осетии,34000,Северная Осетия,"['2024-05-25', '2024-05-30']",4.8,755,0.5,"Простой
Средний
Выше среднего",https://bolshayastrana.com/severnaya-osetiya/k-lednikam-i-vodopadam-v-gorah-osetii-231759,['Экскурсионные туры'],6 дней,Гостиница,До 18 человек,7 лет,"Республика Северная Осетия — Алания, Владикавказ"
35_3,Треккинг-тур «Перезагрузка в Домбае»,36000,Кавказ,"['2024-05-25', '2024-05-31']",4.9,16,0.5,"Средний
Выше среднего",https://bolshayastrana.com/dombaj/perezagruzka-v-dombae-lajt-trekking-tur-230225,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",7 дней,Гостиница,До 25 человек,8 лет,"Россия, Ставропольский край, Минеральные Воды"
35_6,Прогулки в горах Осетии и Ингушетии,26400,Кавказ,"['2024-05-26', '2024-05-30']",4.8,754,0.5,"Простой
Средний
Выше среднего",https://bolshayastrana.com/kavkaz/progulki-v-gorah-osetii-i-ingushetii-247485,['Экскурсионные туры'],5 дней,Гостиница,До 18 человек,7 лет,"Республика Северная Осетия — Алания, Владикавказ"
